城市,2020年4月,2020年3月,2020年2月,2020年1月,指标
北京市,100.500000,100.800000,101.400000,101.600000,商品零售价格指数
天津市,101.900000,102.400000,103.200000,103.600000,商品零售价格指数
河北省,101.700000,102.900000,104.200000,104.800000,商品零售价格指数
山西省,100.600000,101.600000,103.200000,103.600000,商品零售价格指数
内蒙古自治区,100.200000,101.300000,102.700000,103.100000,商品零售价格指数
辽宁省,101.000000,102.400000,103.900000,104.400000,商品零售价格指数
吉林省,100.800000,101.800000,102.800000,103.600000,商品零售价格指数
黑龙江省,102.000000,103.400000,104.100000,104.600000,商品零售价格指数
上海市,101.000000,101.100000,102.300000,103.200000,商品零售价格指数
江苏省,102.300000,103.100000,104.500000,104.800000,商品零售价格指数
浙江省,101.000000,102.000000,103.800000,104.200000,商品零售价格指数
安徽省,101.900000,102.700000,104.300000,104.500000,商品零售价格指数
福建省,102.000000,102.700000,104.100000,104.200000,商品零售价格指数
江西省,101.600000,102.400000,104.200000,104.000000,商品零售价格指数
山东省,102.500000,103.700000,104.900000,105.400000,商品零售价格指数
河南省,101.000000,102.400000,104.000000,104.000000,商品零售价格指数
湖北省,103.100000,105.000000,105.800000,104.800000,商品零售价格指数
湖南省,101.400000,102.700000,104.100000,104.300000,商品零售价格指数
广东省,101.000000,102.100000,103.900000,104.200000,商品零售价格指数
广西壮族自治区,102.800000,103.500000,105.400000,105.100000,商品零售价格指数
海南省,102.800000,103.600000,104.700000,105.300000,商品零售价格指数
重庆市,102.700000,103.300000,105.100000,104.000000,商品零售价格指数
四川省,103.700000,104.700000,106.800000,105.500000,商品零售价格指数
贵州省,102.100000,103.100000,104.300000,104.100000,商品零售价格指数
云南省,102.900000,104.100000,105.700000,105.500000,商品零售价格指数
西藏自治区,102.100000,102.500000,103.200000,103.500000,商品零售价格指数
陕西省,102.200000,103.500000,105.300000,104.500000,商品零售价格指数
甘肃省,101.100000,101.800000,103.100000,103.200000,商品零售价格指数
青海省,102.900000,104.000000,105.200000,104.600000,商品零售价格指数
宁夏回族自治区,100.400000,101.000000,102.100000,102.300000,商品零售价格指数
新疆维吾尔自治区,100.000000,100.600000,102.000000,103.100000,商品零售价格指数
北京市,102.400000,103.200000,103.600000,104.500000,居民消费价格指数
天津市,102.600000,103.500000,103.800000,104.600000,居民消费价格指数
河北省,102.600000,103.800000,104.700000,105.100000,居民消费价格指数
山西省,103.300000,104.300000,105.200000,105.500000,居民消费价格指数
内蒙古自治区,102.300000,103.200000,103.800000,104.300000,居民消费价格指数
辽宁省,102.800000,104.000000,104.900000,105.500000,居民消费价格指数
吉林省,103.200000,104.100000,104.800000,105.700000,居民消费价格指数
黑龙江省,103.300000,104.400000,105.000000,105.300000,居民消费价格指数
上海市,102.500000,102.800000,103.000000,104.300000,居民消费价格指数
江苏省,103.400000,104.200000,105.200000,105.400000,居民消费价格指数
浙江省,102.500000,103.500000,104.400000,104.700000,居民消费价格指数
安徽省,102.900000,104.000000,105.000000,105.700000,居民消费价格指数
福建省,103.100000,103.900000,104.800000,104.900000,居民消费价格指数
江西省,102.900000,103.900000,105.400000,105.100000,居民消费价格指数
山东省,103.600000,104.800000,105.700000,106.200000,居民消费价格指数
河南省,103.400000,104.800000,105.900000,105.800000,居民消费价格指数
湖北省,104.300000,106.300000,106.400000,105.500000,居民消费价格指数
湖南省,103.000000,104.000000,104.900000,104.800000,居民消费价格指数
广东省,104.100000,104.900000,105.900000,106.600000,居民消费价格指数
广西壮族自治区,104.600000,105.000000,106.200000,105.900000,居民消费价格指数
海南省,104.600000,105.200000,105.800000,106.300000,居民消费价格指数
重庆市,102.700000,104.200000,105.800000,104.900000,居民消费价格指数
四川省,104.400000,105.700000,106.900000,106.100000,居民消费价格指数
贵州省,103.800000,104.600000,105.300000,105.100000,居民消费价格指数
云南省,104.500000,105.300000,106.300000,106.100000,居民消费价格指数
西藏自治区,102.400000,102.800000,103.100000,103.000000,居民消费价格指数
陕西省,102.800000,103.900000,105.300000,104.900000,居民消费价格指数
