城市,2020年4月,2020年3月,2020年2月,指标
北京市,-33.700000,-34.800000,-19.400000,商品房销售额
天津市,-33.900000,-43.000000,-40.700000,商品房销售额
河北省,-26.500000,-35.300000,-24.500000,商品房销售额
山西省,-22.300000,-25.600000,-51.300000,商品房销售额
内蒙古自治区,-3.000000,-19.600000,-29.600000,商品房销售额
辽宁省,-8.200000,-14.000000,-8.000000,商品房销售额
吉林省,-33.300000,-45.100000,-60.800000,商品房销售额
黑龙江省,-43.800000,-47.800000,-68.900000,商品房销售额
上海市,-33.300000,-38.300000,-44.300000,商品房销售额
江苏省,0.400000,-2.000000,-22.500000,商品房销售额
浙江省,-4.400000,-8.400000,-21.300000,商品房销售额
安徽省,-19.400000,-29.200000,-48.100000,商品房销售额
福建省,-20.300000,-30.800000,-41.800000,商品房销售额
江西省,0.500000,-5.600000,-18.200000,商品房销售额
山东省,-13.500000,-21.400000,-27.100000,商品房销售额
河南省,-15.300000,-26.200000,-41.600000,商品房销售额
湖北省,-74.500000,-85.000000,-82.900000,商品房销售额
湖南省,-4.100000,-9.100000,-17.200000,商品房销售额
广东省,-23.400000,-25.400000,-30.800000,商品房销售额
广西壮族自治区,-11.900000,-14.900000,-31.200000,商品房销售额
海南省,-45.100000,-49.200000,-54.500000,商品房销售额
重庆市,-36.200000,-39.300000,-62.300000,商品房销售额
四川省,-10.100000,-16.000000,-38.300000,商品房销售额
贵州省,-12.700000,-19.300000,-32.200000,商品房销售额
云南省,-19.400000,-24.300000,-30.700000,商品房销售额
西藏自治区,61.300000,-1.200000,-98.700000,商品房销售额
陕西省,-12.700000,-17.800000,-21.700000,商品房销售额
甘肃省,-11.500000,-28.700000,-55.500000,商品房销售额
青海省,3.100000,-7.900000,-8.200000,商品房销售额
宁夏回族自治区,-3.800000,-29.700000,-42.000000,商品房销售额
新疆维吾尔自治区,-14.700000,-22.600000,-86.000000,商品房销售额
北京市,-41.000000,-45.100000,-43.200000,商品住宅销售额
天津市,-32.000000,-41.400000,-36.500000,商品住宅销售额
河北省,-22.600000,-32.900000,-20.900000,商品住宅销售额
山西省,-20.900000,-25.100000,-50.600000,商品住宅销售额
内蒙古自治区,2.700000,-11.500000,-4.200000,商品住宅销售额
辽宁省,-7.100000,-12.500000,-6.700000,商品住宅销售额
吉林省,-33.500000,-44.800000,-58.700000,商品住宅销售额
黑龙江省,-39.900000,-45.900000,-68.200000,商品住宅销售额
上海市,-30.700000,-35.800000,-40.000000,商品住宅销售额
江苏省,3.600000,2.800000,-19.200000,商品住宅销售额
浙江省,-3.700000,-7.900000,-19.400000,商品住宅销售额
安徽省,-17.500000,-28.100000,-47.900000,商品住宅销售额
福建省,-14.600000,-24.600000,-38.900000,商品住宅销售额
江西省,3.700000,-2.700000,-14.100000,商品住宅销售额
山东省,-11.900000,-20.600000,-26.600000,商品住宅销售额
河南省,-13.200000,-23.700000,-38.300000,商品住宅销售额
湖北省,-73.000000,-83.800000,-81.400000,商品住宅销售额
湖南省,0.500000,-3.500000,-13.000000,商品住宅销售额
广东省,-20.100000,-24.000000,-32.200000,商品住宅销售额
广西壮族自治区,-11.800000,-15.000000,-33.000000,商品住宅销售额
海南省,-41.700000,-44.400000,-47.300000,商品住宅销售额
重庆市,-40.800000,-42.400000,-61.800000,商品住宅销售额
四川省,-4.700000,-11.700000,-34.700000,商品住宅销售额
贵州省,-9.300000,-16.400000,-31.000000,商品住宅销售额
云南省,-16.100000,-21.900000,-30.600000,商品住宅销售额
西藏自治区,78.600000,7.100000,-98.900000,商品住宅销售额
陕西省,-17.400000,-23.900000,-32.400000,商品住宅销售额
甘肃省,-3.300000,-21.900000,-52.500000,商品住宅销售额
青海省,-4.800000,-22.400000,-17.600000,商品住宅销售额
宁夏回族自治区,-1.900000,-25.800000,-38.900000,商品住宅销售额
新疆维吾尔自治区,-12.300000,-20.000000,-84.800000,商品住宅销售额
北京市,-40.400000,-67.200000,-55.000000,商品房销售面积
天津市,-46.800000,-72.300000,-57.800000,商品房销售面积
河北省,-49.900000,-54.000000,-20.500000,商品房销售面积
山西省,-40.800000,-55.400000,-66.500000,商品房销售面积
内蒙古自治区,-23.800000,-38.000000,-63.500000,商品房销售面积
辽宁省,-37.800000,-46.900000,-44.600000,商品房销售面积
吉林省,6.800000,-12.700000,-82.800000,商品房销售面积
黑龙江省,-71.100000,-76.200000,-84.000000,商品房销售面积
上海市,-19.400000,-8.400000,25.800000,商品房销售面积
江苏省,-3.300000,-15.800000,-36.100000,商品房销售面积
浙江省,-12.600000,-22.100000,-54.600000,商品房销售面积
安徽省,-23.300000,-26.400000,-39.400000,商品房销售面积
福建省,-3.200000,-2.600000,-30.200000,商品房销售面积
江西省,-48.500000,-51.400000,-51.900000,商品房销售面积
山东省,-40.500000,-38.900000,-50.900000,商品房销售面积
河南省,-26.400000,-26.600000,-41.100000,商品房销售面积
湖北省,-74.100000,-82.800000,-84.800000,商品房销售面积
湖南省,-24.800000,-32.900000,-29.200000,商品房销售面积
广东省,-16.900000,-26.000000,-26.600000,商品房销售面积
广西壮族自治区,-35.600000,-35.700000,-37.200000,商品房销售面积
海南省,-65.800000,-75.900000,-79.800000,商品房销售面积
重庆市,-6.200000,-22.100000,-60.700000,商品房销售面积
四川省,-25.300000,-30.000000,-57.900000,商品房销售面积
贵州省,-26.900000,-25.800000,-37.900000,商品房销售面积
云南省,-55.100000,-55.300000,-54.300000,商品房销售面积
西藏自治区,-56.900000,-71.600000,nan,商品房销售面积
陕西省,-14.800000,-35.100000,-12.500000,商品房销售面积
甘肃省,-52.700000,-55.600000,-80.700000,商品房销售面积
青海省,-56.300000,-37.900000,-35.000000,商品房销售面积
宁夏回族自治区,-49.000000,-69.200000,-76.700000,商品房销售面积
新疆维吾尔自治区,-32.300000,-24.300000,-83.900000,商品房销售面积
北京市,-62.200000,-72.100000,-66.700000,商品住宅销售面积
天津市,-44.500000,-73.200000,-50.000000,商品住宅销售面积
河北省,-52.200000,-55.900000,-28.800000,商品住宅销售面积
山西省,-39.700000,-56.300000,-65.300000,商品住宅销售面积
内蒙古自治区,-22.100000,-34.500000,-62.100000,商品住宅销售面积
辽宁省,-39.800000,-48.900000,-46.500000,商品住宅销售面积
吉林省,8.600000,-0.700000,-77.000000,商品住宅销售面积
黑龙江省,-70.800000,-77.300000,-85.200000,商品住宅销售面积
上海市,-19.900000,-11.000000,37.000000,商品住宅销售面积
江苏省,1.200000,-11.800000,-32.700000,商品住宅销售面积
浙江省,-7.000000,-24.000000,-46.100000,商品住宅销售面积
安徽省,-26.700000,-30.400000,-47.000000,商品住宅销售面积
福建省,-25.600000,-25.000000,-38.100000,商品住宅销售面积
江西省,-51.900000,-55.000000,-53.700000,商品住宅销售面积
山东省,-35.000000,-33.200000,-42.000000,商品住宅销售面积
河南省,-26.800000,-27.200000,-40.400000,商品住宅销售面积
湖北省,-75.200000,-81.700000,-84.000000,商品住宅销售面积
湖南省,-17.400000,-22.200000,-20.000000,商品住宅销售面积
广东省,-11.300000,-17.000000,-21.900000,商品住宅销售面积
广西壮族自治区,-35.000000,-31.800000,-34.300000,商品住宅销售面积
海南省,-67.200000,-78.200000,-80.000000,商品住宅销售面积
重庆市,-31.200000,-38.100000,-61.200000,商品住宅销售面积
四川省,-20.800000,-26.600000,-52.000000,商品住宅销售面积
贵州省,-31.200000,-32.400000,-40.800000,商品住宅销售面积
云南省,-56.400000,-59.000000,-61.900000,商品住宅销售面积
西藏自治区,-63.300000,-71.300000,nan,商品住宅销售面积
陕西省,-13.900000,-34.200000,-9.200000,商品住宅销售面积
甘肃省,-52.100000,-53.900000,-81.200000,商品住宅销售面积
青海省,-60.500000,-40.800000,-46.600000,商品住宅销售面积
宁夏回族自治区,-57.300000,-70.100000,-79.000000,商品住宅销售面积
新疆维吾尔自治区,-31.700000,-23.200000,-80.700000,商品住宅销售面积
