Province,Date,Item,Count
湖北省,2020-05-25,confirmed,68135
湖北省,2020-05-19,confirmed,68135
湖北省,2020-05-11,confirmed,68134
湖北省,2020-05-10,confirmed,68129
湖北省,2020-04-27,confirmed,68128
湖北省,2020-04-26,confirmed,68128
湖北省,2020-04-25,confirmed,68128
湖北省,2020-04-24,confirmed,68128
湖北省,2020-04-23,confirmed,68128
湖北省,2020-04-22,confirmed,68128
湖北省,2020-04-21,confirmed,68128
湖北省,2020-04-20,confirmed,68128
湖北省,2020-04-19,confirmed,68128
湖北省,2020-04-18,confirmed,68128
湖北省,2020-04-17,confirmed,67803
湖北省,2020-04-16,confirmed,67803
湖北省,2020-04-15,confirmed,67803
湖北省,2020-04-14,confirmed,67803
湖北省,2020-04-13,confirmed,67803
湖北省,2020-04-12,confirmed,67803
湖北省,2020-04-11,confirmed,67803
湖北省,2020-04-10,confirmed,67803
湖北省,2020-04-09,confirmed,67803
湖北省,2020-04-08,confirmed,67803
湖北省,2020-04-07,confirmed,67803
湖北省,2020-04-06,confirmed,67803
湖北省,2020-04-05,confirmed,67803
湖北省,2020-04-04,confirmed,67803
湖北省,2020-04-03,confirmed,67802
湖北省,2020-04-02,confirmed,67802
湖北省,2020-04-01,confirmed,67802
湖北省,2020-03-31,confirmed,67801
湖北省,2020-03-30,confirmed,67801
湖北省,2020-03-29,confirmed,67801
湖北省,2020-03-28,confirmed,67801
湖北省,2020-03-27,confirmed,67801
湖北省,2020-03-26,confirmed,67801
湖北省,2020-03-25,confirmed,67801
湖北省,2020-03-24,confirmed,67801
湖北省,2020-03-23,confirmed,67800
湖北省,2020-03-22,confirmed,67800
湖北省,2020-03-21,confirmed,67800
湖北省,2020-03-20,confirmed,67800
湖北省,2020-03-19,confirmed,67800
湖北省,2020-03-18,confirmed,67800
湖北省,2020-03-17,confirmed,67799
湖北省,2020-03-16,confirmed,67798
湖北省,2020-03-15,confirmed,67794
湖北省,2020-03-14,confirmed,67790
湖北省,2020-03-13,confirmed,67786
湖北省,2020-03-12,confirmed,67781
湖北省,2020-03-11,confirmed,67773
湖北省,2020-03-10,confirmed,67760
湖北省,2020-03-09,confirmed,67743
湖北省,2020-03-08,confirmed,67707
湖北省,2020-03-07,confirmed,67666
湖北省,2020-03-06,confirmed,67592
湖北省,2020-03-05,confirmed,67466
湖北省,2020-03-04,confirmed,67332
湖北省,2020-03-03,confirmed,67217
湖北省,2020-03-02,confirmed,67103
湖北省,2020-03-01,confirmed,66907
湖北省,2020-02-29,confirmed,66337
湖北省,2020-02-28,confirmed,65914
湖北省,2020-02-27,confirmed,65596
湖北省,2020-02-26,confirmed,65187
湖北省,2020-02-25,confirmed,64786
湖北省,2020-02-24,confirmed,64287
湖北省,2020-02-23,confirmed,64084
湖北省,2020-02-22,confirmed,63088
湖北省,2020-02-21,confirmed,62442
湖北省,2020-02-20,confirmed,62031
湖北省,2020-02-19,confirmed,61682
湖北省,2020-02-18,confirmed,59989
湖北省,2020-02-17,confirmed,58182
湖北省,2020-02-16,confirmed,56249
湖北省,2020-02-15,confirmed,54406
湖北省,2020-02-14,confirmed,51986
湖北省,2020-02-13,confirmed,33366
湖北省,2020-02-12,confirmed,33366
湖北省,2020-02-11,confirmed,31728
湖北省,2020-02-10,confirmed,29631
湖北省,2020-02-09,confirmed,24953
湖北省,2020-02-08,confirmed,24953
湖北省,2020-02-07,confirmed,22112
湖北省,2020-02-06,confirmed,16678
湖北省,2020-02-05,confirmed,16678
湖北省,2020-02-04,confirmed,13522
湖北省,2020-02-03,confirmed,11177
湖北省,2020-02-02,confirmed,9074
湖北省,2020-02-01,confirmed,7153
湖北省,2020-01-31,confirmed,5806
湖北省,2020-01-30,confirmed,3554
湖北省,2020-01-29,confirmed,3554
湖北省,2020-01-28,confirmed,2714
湖北省,2020-01-27,confirmed,1423
湖北省,2020-01-26,confirmed,761
湖北省,2020-01-25,confirmed,729
湖北省,2020-01-24,confirmed,444
湖北省,2020-01-22,confirmed,270
中国,2020-05-25,confirmed,84525
中国,2020-05-24,confirmed,84523
中国,2020-05-23,confirmed,84522
中国,2020-05-22,confirmed,84520
中国,2020-05-20,confirmed,84503
中国,2020-05-19,confirmed,84497
中国,2020-05-18,confirmed,84487
中国,2020-05-17,confirmed,84478
中国,2020-05-16,confirmed,84471
中国,2020-05-15,confirmed,84465
中国,2020-05-14,confirmed,84461
中国,2020-05-13,confirmed,84451
中国,2020-05-12,confirmed,84450
中国,2020-05-11,confirmed,84450
中国,2020-05-10,confirmed,84416
中国,2020-05-09,confirmed,84416
中国,2020-05-08,confirmed,84414
中国,2020-05-07,confirmed,84407
中国,2020-05-06,confirmed,84404
中国,2020-05-05,confirmed,84403
中国,2020-05-04,confirmed,84400
中国,2020-05-03,confirmed,84391
中国,2020-05-02,confirmed,84388
中国,2020-05-01,confirmed,84373
中国,2020-04-30,confirmed,84369
中国,2020-04-29,confirmed,84367
中国,2020-04-28,confirmed,84341
中国,2020-04-27,confirmed,84338
中国,2020-04-26,confirmed,84330
中国,2020-04-25,confirmed,84313
中国,2020-04-24,confirmed,84307
中国,2020-04-23,confirmed,84294
中国,2020-04-22,confirmed,84286
中国,2020-04-21,confirmed,84239
中国,2020-04-20,confirmed,84225
中国,2020-04-19,confirmed,84185
中国,2020-04-18,confirmed,84156
中国,2020-04-17,confirmed,83802
中国,2020-04-16,confirmed,83760
中国,2020-04-15,confirmed,83700
中国,2020-04-14,confirmed,83607
中国,2020-04-13,confirmed,83524
中国,2020-04-12,confirmed,83400
中国,2020-04-11,confirmed,83324
中国,2020-04-10,confirmed,83264
中国,2020-04-09,confirmed,83189
中国,2020-04-08,confirmed,83095
中国,2020-04-07,confirmed,83039
中国,2020-04-06,confirmed,82966
中国,2020-04-05,confirmed,82899
中国,2020-04-04,confirmed,82857
中国,2020-04-03,confirmed,82772
中国,2020-04-02,confirmed,82691
中国,2020-04-01,confirmed,82601
中国,2020-03-31,confirmed,82506
中国,2020-03-30,confirmed,82423
中国,2020-03-29,confirmed,82283
中国,2020-03-28,confirmed,82164
中国,2020-03-27,confirmed,82037
中国,2020-03-26,confirmed,81896
中国,2020-03-25,confirmed,81847
中国,2020-03-24,confirmed,81692
中国,2020-03-23,confirmed,81566
中国,2020-03-22,confirmed,81501
中国,2020-03-21,confirmed,81416
中国,2020-03-20,confirmed,81301
中国,2020-03-19,confirmed,81204
中国,2020-03-18,confirmed,81138
中国,2020-03-17,confirmed,81100
中国,2020-03-16,confirmed,81063
中国,2020-03-15,confirmed,81059
四川省,2020-05-25,confirmed,564
四川省,2020-05-22,confirmed,563
四川省,2020-04-24,confirmed,561
四川省,2020-04-23,confirmed,561
四川省,2020-04-22,confirmed,561
四川省,2020-04-19,confirmed,561
四川省,2020-04-18,confirmed,561
四川省,2020-04-16,confirmed,560
四川省,2020-04-15,confirmed,560
四川省,2020-04-13,confirmed,560
四川省,2020-04-11,confirmed,560
四川省,2020-04-10,confirmed,560
四川省,2020-04-07,confirmed,560
四川省,2020-04-06,confirmed,559
四川省,2020-04-05,confirmed,558
四川省,2020-04-04,confirmed,557
四川省,2020-04-03,confirmed,555
四川省,2020-04-02,confirmed,554
四川省,2020-04-01,confirmed,552
四川省,2020-03-30,confirmed,550
四川省,2020-03-29,confirmed,550
四川省,2020-03-27,confirmed,548
四川省,2020-03-25,confirmed,547
四川省,2020-03-24,confirmed,545
四川省,2020-03-22,confirmed,543
四川省,2020-03-21,confirmed,542
四川省,2020-03-20,confirmed,541
四川省,2020-03-19,confirmed,540
四川省,2020-03-18,confirmed,540
四川省,2020-03-17,confirmed,539
四川省,2020-03-15,confirmed,539
四川省,2020-03-14,confirmed,539
四川省,2020-03-13,confirmed,539
四川省,2020-03-12,confirmed,539
四川省,2020-03-11,confirmed,539
四川省,2020-03-10,confirmed,539
